CSID,CaseMasterID,csdate,cstype,PolicePersonID
86,86,2025-11-10 10:00:00,A,37
87,87,2025-04-05 10:00:00,A,38
88,88,2025-02-18 10:00:00,A,39
89,89,2025-09-26 10:00:00,A,40
90,90,2025-08-24 10:00:00,A,41
91,91,2025-05-08 10:00:00,A,42
92,92,2025-07-12 10:00:00,A,43
93,93,2025-04-04 10:00:00,A,44
94,94,2025-09-17 10:00:00,A,45
95,95,2025-01-23 10:00:00,A,46
96,96,2025-11-07 10:00:00,A,47
97,97,2025-03-11 10:00:00,A,48
98,98,2025-11-02 10:00:00,A,49
99,99,2025-12-17 10:00:00,A,50
100,100,2025-11-13 10:00:00,A,1
101,101,2025-08-31 10:00:00,C,2
102,102,2025-05-12 10:00:00,A,3
103,103,2025-03-18 10:00:00,A,4
104,104,2025-09-13 10:00:00,A,5
105,105,2025-07-30 10:00:00,A,6
106,106,2025-02-08 10:00:00,A,7
107,107,2025-06-28 10:00:00,A,8
108,108,2025-03-18 10:00:00,A,9
109,109,2025-03-09 10:00:00,A,10
110,110,2025-05-07 10:00:00,A,11
111,111,2025-07-21 10:00:00,A,12
112,112,2025-07-17 10:00:00,A,13
113,113,2025-10-06 10:00:00,C,14
114,114,2025-02-24 10:00:00,B,15
115,115,2025-03-21 10:00:00,A,16
116,116,2025-01-31 10:00:00,A,17
117,117,2025-11-21 10:00:00,A,18
118,118,2025-09-20 10:00:00,A,19
119,119,2025-12-02 10:00:00,A,20
120,120,2025-07-13 10:00:00,A,21
121,121,2025-08-09 10:00:00,A,22
122,122,2025-03-25 10:00:00,A,23
123,123,2025-03-08 10:00:00,A,24
124,124,2025-10-13 10:00:00,A,25
125,125,2025-09-11 10:00:00,A,26
126,126,2025-08-17 10:00:00,A,27
127,127,2025-08-21 10:00:00,A,28
128,128,2025-08-30 10:00:00,A,29
129,129,2025-09-09 10:00:00,A,30
130,130,2025-09-19 10:00:00,A,31
131,131,2025-07-03 10:00:00,A,32
132,132,2025-01-05 10:00:00,A,33
133,133,2025-01-24 10:00:00,A,34
134,134,2025-10-07 10:00:00,A,35
135,135,2025-07-20 10:00:00,A,36
136,136,2025-05-26 10:00:00,A,37
137,137,2025-12-11 10:00:00,A,38
138,138,2025-12-10 10:00:00,A,39
139,139,2025-07-05 10:00:00,A,40
140,140,2025-06-18 10:00:00,A,41
141,141,2025-10-10 10:00:00,A,42
142,142,2025-03-23 10:00:00,A,43
143,143,2025-03-23 10:00:00,A,44
144,144,2025-05-11 10:00:00,C,45
145,145,2025-01-22 10:00:00,A,46
146,146,2025-11-24 10:00:00,A,47
147,147,2025-09-22 10:00:00,A,48
148,148,2025-04-01 10:00:00,A,49
149,149,2025-07-26 10:00:00,A,50
150,150,2025-08-05 10:00:00,A,1
151,151,2025-06-13 10:00:00,B,2
152,152,2025-04-23 10:00:00,A,3
153,153,2025-07-07 10:00:00,A,4
154,154,2025-06-25 10:00:00,A,5
155,155,2025-09-01 10:00:00,A,6
156,156,2025-01-03 10:00:00,A,7
157,157,2025-02-19 10:00:00,A,8
158,158,2025-06-28 10:00:00,A,9
159,159,2025-11-08 10:00:00,A,10
160,160,2025-03-13 10:00:00,A,11
161,161,2025-03-19 10:00:00,A,12
162,162,2025-06-19 10:00:00,A,13
163,163,2025-03-20 10:00:00,A,14
164,164,2025-11-18 10:00:00,A,15
165,165,2025-04-15 10:00:00,A,16
166,166,2025-02-10 10:00:00,A,17
167,167,2025-12-16 10:00:00,A,18
168,168,2025-11-09 10:00:00,A,19
169,169,2025-11-07 10:00:00,A,20
170,170,2025-06-07 10:00:00,A,21
171,171,2025-03-29 10:00:00,A,22
172,172,2025-05-14 10:00:00,A,23
173,173,2025-07-15 10:00:00,A,24
174,174,2025-04-12 10:00:00,A,25
175,175,2025-07-15 10:00:00,A,26
176,176,2025-04-08 10:00:00,A,27
177,177,2025-12-03 10:00:00,A,28
178,178,2025-05-17 10:00:00,A,29
179,179,2025-12-30 10:00:00,A,30
180,180,2025-05-09 10:00:00,A,31
181,181,2025-03-22 10:00:00,A,32
182,182,2025-11-08 10:00:00,A,33
183,183,2025-08-12 10:00:00,A,34
184,184,2025-06-30 10:00:00,A,35
185,185,2025-01-23 10:00:00,A,36
186,186,2025-10-31 10:00:00,A,37
187,187,2025-02-22 10:00:00,A,38
188,188,2025-12-02 10:00:00,A,39
189,189,2025-10-22 10:00:00,B,40
190,190,2025-08-11 10:00:00,A,41
191,191,2025-12-03 10:00:00,A,42
192,192,2025-03-28 10:00:00,A,43
193,193,2025-05-30 10:00:00,B,44
194,194,2025-07-15 10:00:00,A,45
195,195,2025-01-22 10:00:00,A,46
196,196,2025-02-13 10:00:00,B,47
197,197,2025-06-25 10:00:00,A,48
198,198,2025-06-04 10:00:00,A,49
199,199,2025-02-04 10:00:00,A,50
200,200,2025-01-31 10:00:00,A,1
201,201,2025-04-27 10:00:00,A,2
202,202,2025-04-23 10:00:00,A,3
203,203,2025-04-18 10:00:00,A,4
204,204,2025-12-18 10:00:00,A,5
205,205,2025-12-09 10:00:00,A,6
206,206,2025-11-29 10:00:00,A,7
207,207,2025-06-26 10:00:00,A,8
208,208,2025-05-08 10:00:00,A,9
209,209,2025-07-04 10:00:00,A,10
210,210,2025-02-26 10:00:00,A,11
211,211,2025-03-25 10:00:00,A,12
212,212,2025-06-01 10:00:00,A,13
213,213,2025-01-11 10:00:00,A,14
214,214,2025-11-16 10:00:00,A,15
215,215,2025-05-28 10:00:00,A,16
216,216,2025-10-09 10:00:00,A,17
217,217,2025-10-18 10:00:00,A,18
218,218,2025-06-12 10:00:00,A,19
219,219,2025-11-13 10:00:00,A,20
220,220,2025-05-29 10:00:00,A,21
221,221,2025-02-20 10:00:00,A,22
222,222,2025-08-03 10:00:00,A,23
223,223,2025-09-03 10:00:00,A,24
224,224,2025-09-02 10:00:00,A,25
225,225,2025-04-14 10:00:00,A,26
226,226,2025-01-21 10:00:00,A,27
227,227,2025-08-30 10:00:00,A,28
228,228,2025-07-05 10:00:00,A,29
229,229,2025-02-28 10:00:00,A,30
230,230,2025-10-15 10:00:00,A,31
231,231,2025-02-07 10:00:00,A,32
232,232,2025-12-20 10:00:00,A,33
233,233,2025-11-30 10:00:00,C,34
234,234,2025-10-16 10:00:00,A,35
235,235,2025-04-05 10:00:00,A,36
236,236,2025-01-12 10:00:00,A,37
237,237,2025-09-05 10:00:00,A,38
238,238,2025-11-01 10:00:00,A,39
239,239,2025-05-09 10:00:00,A,40
240,240,2025-02-24 10:00:00,A,41
241,241,2025-06-17 10:00:00,A,42
242,242,2025-11-24 10:00:00,A,43
243,243,2025-05-12 10:00:00,A,44
244,244,2025-12-14 10:00:00,A,45
245,245,2025-05-24 10:00:00,A,46
246,246,2025-04-23 10:00:00,A,47
247,247,2025-11-11 10:00:00,B,48
248,248,2025-10-23 10:00:00,A,49
249,249,2025-06-06 10:00:00,A,50
250,250,2025-05-02 10:00:00,A,1
251,251,2025-02-18 10:00:00,A,2
252,252,2025-04-30 10:00:00,A,3
253,253,2025-02-26 10:00:00,A,4
254,254,2025-08-01 10:00:00,A,5
255,255,2025-09-27 10:00:00,A,6
256,256,2025-07-16 10:00:00,A,7
257,257,2025-11-04 10:00:00,A,8
258,258,2025-08-05 10:00:00,A,9
259,259,2025-10-12 10:00:00,A,10
260,260,2025-01-21 10:00:00,A,11
261,261,2025-02-28 10:00:00,A,12
262,262,2025-07-24 10:00:00,A,13
263,263,2025-04-01 10:00:00,A,14
264,264,2025-03-19 10:00:00,A,15
265,265,2025-01-28 10:00:00,A,16
266,266,2025-08-21 10:00:00,A,17
267,267,2025-05-17 10:00:00,A,18
268,268,2025-11-21 10:00:00,A,19
269,269,2025-02-28 10:00:00,A,20
270,270,2025-02-26 10:00:00,A,21
271,271,2025-02-16 10:00:00,A,22
272,272,2025-12-29 10:00:00,C,23
273,273,2025-09-02 10:00:00,A,24
274,274,2025-12-30 10:00:00,A,25
275,275,2025-03-11 10:00:00,A,26
276,276,2025-02-10 10:00:00,A,27
277,277,2025-07-19 10:00:00,A,28
278,278,2025-12-26 10:00:00,A,29
279,279,2025-07-25 10:00:00,A,30
280,280,2025-06-01 10:00:00,A,31
281,281,2025-07-07 10:00:00,A,32
282,282,2025-10-23 10:00:00,A,33
283,283,2025-01-14 10:00:00,A,34
284,284,2025-06-07 10:00:00,A,35
285,285,2025-11-06 10:00:00,A,36
286,286,2025-05-19 10:00:00,A,37
287,287,2025-05-17 10:00:00,A,38
288,288,2025-01-03 10:00:00,A,39
289,289,2025-12-12 10:00:00,A,40
290,290,2025-04-02 10:00:00,A,41
291,291,2025-09-11 10:00:00,A,42
292,292,2025-06-16 10:00:00,A,43
293,293,2025-04-23 10:00:00,A,44
294,294,2025-01-01 10:00:00,A,45
295,295,2025-09-05 10:00:00,A,46
296,296,2025-05-19 10:00:00,A,47
297,297,2025-07-05 10:00:00,A,48
298,298,2025-04-11 10:00:00,A,49
299,299,2025-11-25 10:00:00,A,50
300,300,2025-08-12 10:00:00,A,1
301,301,2025-05-18 10:00:00,A,2
302,302,2025-08-25 10:00:00,A,3
303,303,2025-12-15 10:00:00,A,4
304,304,2025-06-27 10:00:00,A,5
305,305,2025-05-26 10:00:00,A,6
306,306,2025-01-27 10:00:00,B,7
307,307,2025-10-07 10:00:00,A,8
308,308,2025-02-23 10:00:00,A,9
309,309,2025-05-11 10:00:00,A,10
310,310,2025-03-25 10:00:00,A,11
311,311,2025-06-04 10:00:00,A,12
312,312,2025-02-25 10:00:00,A,13
313,313,2025-01-05 10:00:00,A,14
314,314,2025-09-08 10:00:00,A,15
315,315,2025-11-28 10:00:00,A,16
316,316,2025-07-11 10:00:00,A,17
317,317,2025-09-07 10:00:00,A,18
318,318,2025-05-01 10:00:00,A,19
319,319,2025-11-27 10:00:00,A,20
320,320,2025-05-16 10:00:00,A,21
321,321,2025-08-16 10:00:00,A,22
322,322,2025-05-07 10:00:00,A,23
323,323,2025-03-26 10:00:00,A,24
324,324,2025-05-15 10:00:00,A,25
325,325,2025-04-04 10:00:00,A,26
326,326,2025-08-04 10:00:00,B,27
327,327,2025-06-08 10:00:00,A,28
328,328,2025-08-19 10:00:00,A,29
329,329,2025-06-11 10:00:00,A,30
330,330,2025-04-20 10:00:00,A,31
331,331,2025-05-27 10:00:00,A,32
332,332,2025-10-01 10:00:00,A,33
333,333,2025-12-07 10:00:00,A,34
334,334,2025-11-21 10:00:00,A,35
335,335,2025-03-28 10:00:00,C,36
336,336,2025-01-20 10:00:00,A,37
337,337,2025-10-17 10:00:00,A,38
338,338,2025-10-27 10:00:00,A,39
339,339,2025-03-30 10:00:00,A,40
340,340,2025-03-24 10:00:00,A,41
341,341,2025-01-25 10:00:00,A,42
342,342,2025-06-02 10:00:00,A,43
343,343,2025-02-15 10:00:00,A,44
344,344,2025-12-22 10:00:00,A,45
345,345,2025-12-28 10:00:00,A,46
346,346,2025-02-01 10:00:00,A,47
347,347,2025-11-04 10:00:00,A,48
348,348,2025-06-27 10:00:00,A,49
349,349,2025-02-20 10:00:00,A,50
350,350,2025-06-23 10:00:00,A,1
351,351,2025-12-21 10:00:00,A,2
352,352,2025-09-06 10:00:00,A,3
353,353,2025-12-07 10:00:00,A,4
354,354,2025-11-02 10:00:00,A,5
355,355,2025-08-09 10:00:00,A,6
356,356,2025-08-03 10:00:00,A,7
357,357,2025-10-24 10:00:00,A,8
358,358,2025-05-27 10:00:00,A,9
359,359,2025-02-15 10:00:00,A,10
360,360,2025-08-30 10:00:00,A,11
361,361,2025-09-15 10:00:00,A,12
362,362,2025-06-18 10:00:00,B,13
363,363,2025-08-30 10:00:00,A,14
364,364,2025-03-29 10:00:00,A,15
365,365,2025-06-06 10:00:00,A,16
366,366,2025-09-26 10:00:00,A,17
367,367,2025-06-24 10:00:00,A,18
368,368,2025-04-16 10:00:00,A,19
369,369,2025-05-04 10:00:00,A,20
370,370,2025-01-22 10:00:00,A,21
371,371,2025-02-12 10:00:00,A,22
372,372,2025-02-17 10:00:00,A,23
373,373,2025-02-17 10:00:00,A,24
374,374,2025-10-29 10:00:00,A,25
375,375,2025-03-10 10:00:00,A,26
376,376,2025-07-16 10:00:00,A,27
377,377,2025-05-23 10:00:00,A,28
378,378,2025-12-12 10:00:00,A,29
379,379,2025-01-26 10:00:00,A,30
380,380,2025-11-26 10:00:00,A,31
381,381,2025-08-15 10:00:00,A,32
382,382,2025-04-21 10:00:00,A,33
383,383,2025-03-07 10:00:00,A,34
384,384,2025-01-27 10:00:00,A,35
385,385,2025-09-30 10:00:00,A,36
386,386,2025-03-06 10:00:00,A,37
387,387,2025-08-26 10:00:00,A,38
388,388,2025-07-19 10:00:00,A,39
389,389,2025-02-23 10:00:00,A,40
390,390,2025-11-15 10:00:00,A,41
391,391,2025-05-12 10:00:00,A,42
392,392,2025-04-20 10:00:00,A,43
393,393,2025-06-01 10:00:00,A,44
394,394,2025-10-25 10:00:00,C,45
395,395,2025-12-08 10:00:00,A,46
396,396,2025-09-05 10:00:00,A,47
397,397,2025-02-18 10:00:00,A,48
398,398,2025-03-25 10:00:00,A,49
399,399,2025-03-27 10:00:00,A,50
400,400,2025-04-10 10:00:00,A,1
401,401,2025-07-03 10:00:00,A,2
402,402,2025-03-29 10:00:00,A,3
403,403,2025-02-10 10:00:00,A,4
404,404,2025-01-21 10:00:00,A,5
405,405,2025-08-11 10:00:00,A,6
406,406,2025-07-31 10:00:00,A,7
407,407,2025-11-15 10:00:00,A,8
408,408,2025-11-27 10:00:00,A,9
409,409,2025-12-14 10:00:00,A,10
410,410,2025-10-15 10:00:00,A,11
411,411,2025-10-09 10:00:00,B,12
412,412,2025-01-31 10:00:00,A,13
413,413,2025-08-14 10:00:00,A,14
414,414,2025-06-19 10:00:00,A,15
415,415,2025-12-18 10:00:00,A,16
416,416,2025-01-23 10:00:00,A,17
417,417,2025-05-22 10:00:00,A,18
418,418,2025-06-19 10:00:00,A,19
419,419,2025-06-15 10:00:00,A,20
420,420,2025-11-14 10:00:00,A,21
421,421,2025-09-20 10:00:00,A,22
422,422,2025-12-19 10:00:00,A,23
423,423,2025-11-16 10:00:00,A,24
424,424,2025-01-13 10:00:00,A,25
425,425,2025-10-17 10:00:00,A,26
426,426,2025-08-04 10:00:00,A,27
427,427,2025-01-30 10:00:00,A,28
428,428,2025-11-19 10:00:00,A,29
429,429,2025-04-27 10:00:00,A,30
430,430,2025-03-30 10:00:00,A,31
431,431,2025-08-12 10:00:00,A,32
432,432,2025-12-10 10:00:00,A,33
433,433,2025-01-28 10:00:00,A,34
434,434,2025-04-05 10:00:00,A,35
435,435,2025-06-16 10:00:00,A,36
436,436,2025-04-23 10:00:00,A,37
437,437,2025-05-01 10:00:00,A,38
438,438,2025-10-01 10:00:00,A,39
439,439,2025-10-06 10:00:00,A,40
440,440,2025-12-05 10:00:00,A,41
441,441,2025-11-15 10:00:00,A,42
442,442,2025-04-13 10:00:00,B,43
443,443,2025-12-17 10:00:00,A,44
444,444,2025-12-20 10:00:00,A,45
445,445,2025-01-09 10:00:00,A,46
446,446,2025-11-27 10:00:00,A,47
447,447,2025-12-26 10:00:00,A,48
448,448,2025-01-21 10:00:00,C,49
449,449,2025-11-02 10:00:00,A,50
450,450,2025-04-02 10:00:00,A,1
451,451,2025-08-28 10:00:00,A,2
452,452,2025-06-23 10:00:00,A,3
453,453,2025-03-01 10:00:00,A,4
454,454,2025-07-26 10:00:00,A,5
455,455,2025-01-17 10:00:00,A,6
456,456,2025-06-28 10:00:00,A,7
457,457,2025-09-12 10:00:00,A,8
458,458,2025-12-16 10:00:00,A,9
459,459,2025-03-17 10:00:00,A,10
460,460,2025-01-29 10:00:00,A,11
461,461,2025-12-01 10:00:00,A,12
462,462,2025-12-21 10:00:00,A,13
463,463,2025-01-30 10:00:00,A,14
464,464,2025-12-01 10:00:00,A,15
465,465,2025-06-02 10:00:00,A,16
466,466,2025-07-25 10:00:00,B,17
467,467,2025-04-11 10:00:00,A,18
468,468,2025-11-08 10:00:00,A,19
469,469,2025-04-22 10:00:00,A,20
470,470,2025-01-03 10:00:00,A,21
471,471,2025-08-04 10:00:00,A,22
472,472,2025-04-08 10:00:00,A,23
473,473,2025-10-10 10:00:00,A,24
474,474,2025-11-07 10:00:00,A,25
475,475,2025-06-26 10:00:00,A,26
476,476,2025-03-12 10:00:00,A,27
477,477,2025-03-06 10:00:00,C,28
478,478,2025-10-30 10:00:00,A,29
479,479,2025-03-11 10:00:00,A,30
480,480,2025-08-29 10:00:00,A,31
481,481,2025-01-04 10:00:00,A,32
482,482,2025-09-04 10:00:00,A,33
483,483,2025-02-25 10:00:00,A,34
484,484,2025-11-10 10:00:00,A,35
485,485,2025-11-26 10:00:00,A,36
486,486,2025-11-01 10:00:00,A,37
487,487,2025-01-15 10:00:00,A,38
488,488,2025-11-30 10:00:00,A,39
489,489,2025-09-17 10:00:00,A,40
490,490,2025-04-23 10:00:00,A,41
491,491,2025-10-03 10:00:00,A,42
492,492,2025-07-31 10:00:00,A,43
493,493,2025-06-04 10:00:00,A,44
494,494,2025-11-19 10:00:00,A,45
495,495,2025-05-16 10:00:00,A,46
496,496,2025-10-27 10:00:00,A,47
497,497,2025-05-20 10:00:00,A,48
498,498,2025-07-17 10:00:00,A,49
499,499,2025-10-26 10:00:00,A,50
500,500,2025-03-22 10:00:00,A,1
501,501,2025-04-25 10:00:00,A,2
502,502,2025-08-05 10:00:00,A,3
503,503,2025-02-23 10:00:00,A,4
504,504,2025-12-09 10:00:00,A,5
505,505,2025-11-13 10:00:00,A,6
506,506,2025-06-04 10:00:00,A,7
507,507,2025-12-19 10:00:00,A,8
508,508,2025-03-28 10:00:00,A,9
509,509,2025-08-20 10:00:00,A,10
510,510,2025-11-16 10:00:00,A,11
511,511,2025-12-04 10:00:00,A,12
512,512,2025-01-08 10:00:00,A,13
513,513,2025-10-04 10:00:00,A,14
514,514,2025-06-09 10:00:00,B,15
515,515,2025-09-20 10:00:00,A,16
516,516,2025-09-28 10:00:00,A,17
517,517,2025-05-26 10:00:00,A,18
518,518,2025-01-24 10:00:00,C,19
519,519,2025-07-25 10:00:00,A,20
520,520,2025-06-15 10:00:00,A,21
521,521,2025-08-21 10:00:00,A,22
522,522,2025-09-30 10:00:00,A,23
523,523,2025-06-05 10:00:00,A,24
524,524,2025-02-09 10:00:00,A,25
525,525,2025-06-26 10:00:00,A,26
526,526,2025-05-21 10:00:00,A,27
527,527,2025-02-03 10:00:00,A,28
528,528,2025-05-27 10:00:00,A,29
529,529,2025-12-06 10:00:00,A,30
530,530,2025-09-24 10:00:00,A,31
531,531,2025-07-21 10:00:00,B,32
532,532,2025-08-01 10:00:00,A,33
533,533,2025-08-19 10:00:00,A,34
534,534,2025-04-21 10:00:00,A,35
535,535,2025-07-11 10:00:00,A,36
536,536,2025-10-20 10:00:00,A,37
537,537,2025-11-23 10:00:00,A,38
538,538,2025-07-30 10:00:00,A,39
539,539,2025-05-12 10:00:00,A,40
540,540,2025-12-06 10:00:00,A,41
541,541,2025-06-17 10:00:00,A,42
542,542,2025-12-24 10:00:00,A,43
543,543,2025-01-09 10:00:00,A,44
544,544,2025-08-25 10:00:00,A,45
545,545,2025-09-23 10:00:00,A,46
546,546,2025-11-15 10:00:00,A,47
547,547,2025-10-12 10:00:00,A,48
548,548,2025-05-22 10:00:00,A,49
549,549,2025-07-15 10:00:00,A,50
550,550,2025-07-21 10:00:00,A,1
551,551,2025-11-17 10:00:00,A,2
552,552,2025-09-19 10:00:00,A,3
553,553,2025-02-20 10:00:00,A,4
554,554,2025-06-23 10:00:00,A,5
555,555,2025-11-23 10:00:00,A,6
556,556,2025-07-02 10:00:00,A,7
557,557,2025-05-12 10:00:00,A,8
558,558,2025-04-06 10:00:00,A,9
559,559,2025-10-11 10:00:00,A,10
560,560,2025-09-23 10:00:00,A,11
561,561,2025-01-09 10:00:00,A,12
562,562,2025-02-05 10:00:00,A,13
563,563,2025-01-09 10:00:00,A,14
564,564,2025-01-14 10:00:00,A,15
565,565,2025-11-08 10:00:00,A,16
566,566,2025-04-03 10:00:00,A,17
567,567,2025-04-10 10:00:00,A,18
568,568,2025-05-02 10:00:00,A,19
569,569,2025-09-07 10:00:00,A,20
570,570,2025-01-26 10:00:00,A,21
571,571,2025-09-27 10:00:00,A,22
572,572,2025-02-08 10:00:00,C,23
573,573,2025-08-23 10:00:00,A,24
574,574,2025-01-25 10:00:00,A,25
575,575,2025-12-23 10:00:00,A,26
576,576,2025-12-19 10:00:00,A,27
577,577,2025-12-18 10:00:00,A,28
578,578,2025-12-07 10:00:00,A,29
579,579,2025-08-12 10:00:00,A,30
580,580,2025-07-01 10:00:00,A,31
581,581,2025-09-16 10:00:00,A,32
582,582,2025-03-04 10:00:00,A,33
583,583,2025-04-01 10:00:00,A,34
584,584,2025-10-03 10:00:00,A,35
585,585,2025-06-21 10:00:00,A,36
586,586,2025-04-22 10:00:00,A,37
587,587,2025-03-23 10:00:00,A,38
588,588,2025-08-11 10:00:00,A,39
589,589,2025-07-07 10:00:00,A,40
590,590,2025-11-14 10:00:00,A,41
591,591,2025-04-07 10:00:00,A,42
592,592,2025-08-02 10:00:00,A,43
593,593,2025-12-13 10:00:00,A,44
594,594,2025-10-23 10:00:00,A,45
595,595,2025-06-06 10:00:00,A,46
596,596,2025-02-27 10:00:00,A,47
597,597,2025-05-02 10:00:00,A,48
598,598,2025-08-16 10:00:00,C,49
599,599,2025-10-16 10:00:00,A,50
600,600,2025-08-24 10:00:00,C,1
601,601,2025-06-09 10:00:00,A,2
602,602,2025-07-25 10:00:00,A,3
603,603,2025-07-22 10:00:00,C,4
604,604,2025-11-19 10:00:00,A,5
605,605,2025-12-26 10:00:00,A,6
606,606,2025-04-09 10:00:00,A,7
607,607,2025-05-24 10:00:00,A,8
608,608,2025-09-15 10:00:00,A,9
609,609,2025-04-18 10:00:00,A,10
610,610,2025-10-18 10:00:00,A,11
611,611,2025-09-09 10:00:00,A,12
612,612,2025-08-04 10:00:00,A,13
613,613,2025-03-27 10:00:00,A,14
614,614,2025-03-24 10:00:00,A,15
615,615,2025-02-08 10:00:00,A,16
616,616,2025-01-09 10:00:00,A,17
617,617,2025-09-27 10:00:00,C,18
618,618,2025-03-03 10:00:00,A,19
619,619,2025-03-20 10:00:00,A,20
620,620,2025-05-02 10:00:00,A,21
621,621,2025-07-11 10:00:00,A,22
622,622,2025-05-15 10:00:00,A,23
623,623,2025-01-17 10:00:00,C,24
624,624,2025-12-04 10:00:00,A,25
625,625,2025-01-14 10:00:00,A,26
626,626,2025-01-23 10:00:00,A,27
627,627,2025-01-18 10:00:00,A,28
628,628,2025-03-31 10:00:00,A,29
629,629,2025-10-02 10:00:00,A,30
630,630,2025-12-16 10:00:00,A,31
631,631,2025-11-15 10:00:00,A,32
632,632,2025-12-19 10:00:00,A,33
633,633,2025-05-30 10:00:00,A,34
634,634,2025-05-11 10:00:00,A,35
635,635,2025-01-27 10:00:00,A,36
636,636,2025-09-19 10:00:00,A,37
637,637,2025-10-01 10:00:00,A,38
638,638,2025-09-11 10:00:00,A,39
639,639,2025-05-22 10:00:00,A,40
640,640,2025-09-26 10:00:00,A,41
641,641,2025-02-28 10:00:00,A,42
642,642,2025-06-27 10:00:00,A,43
643,643,2025-10-07 10:00:00,A,44
644,644,2025-10-15 10:00:00,A,45
645,645,2025-12-17 10:00:00,A,46
646,646,2025-12-23 10:00:00,A,47
647,647,2025-08-30 10:00:00,A,48
648,648,2025-11-29 10:00:00,A,49
649,649,2025-06-26 10:00:00,A,50
650,650,2025-08-25 10:00:00,A,1
651,651,2025-05-29 10:00:00,A,2
652,652,2025-06-25 10:00:00,A,3
653,653,2025-10-23 10:00:00,A,4
654,654,2025-07-15 10:00:00,A,5
655,655,2025-04-09 10:00:00,A,6
656,656,2025-08-28 10:00:00,A,7
657,657,2025-06-21 10:00:00,A,8
658,658,2025-06-27 10:00:00,A,9
659,659,2025-08-26 10:00:00,A,10
660,660,2025-11-24 10:00:00,A,11
661,661,2025-02-22 10:00:00,A,12
662,662,2025-09-12 10:00:00,A,13
663,663,2025-03-19 10:00:00,A,14
664,664,2025-01-27 10:00:00,A,15
