CaseMasterID,MethodTag
174,Vehicle Theft
175,Break-in
176,Pickpocket
177,Vehicle Theft
178,Vehicle Theft
179,Vehicle Theft
180,Pickpocket
181,Break-in
182,Vehicle Theft
183,Vehicle Theft
184,Vehicle Theft
185,Break-in
186,Pickpocket
187,Break-in
188,Pickpocket
189,Break-in
190,Vehicle Theft
191,Break-in
192,Pickpocket
193,Pickpocket
194,Pickpocket
195,Vehicle Theft
196,Pickpocket
197,Break-in
198,Vehicle Theft
199,Vehicle Theft
200,Vehicle Theft
201,Vehicle Theft
202,Vehicle Theft
203,Vehicle Theft
204,Vehicle Theft
205,Vehicle Theft
206,Vehicle Theft
207,Vehicle Theft
208,Pickpocket
209,Vehicle Theft
210,Vehicle Theft
211,Pickpocket
212,Pickpocket
213,Break-in
214,Vehicle Theft
215,Break-in
216,Armed Robbery
217,Armed Robbery
218,Armed Robbery
219,Armed Robbery
220,Armed Robbery
221,Armed Robbery
222,Snatch-and-Run
223,Armed Robbery
224,Snatch-and-Run
225,Armed Robbery
226,Snatch-and-Run
227,Armed Robbery
228,Armed Robbery
229,Armed Robbery
230,Armed Robbery
231,Armed Robbery
232,Snatch-and-Run
233,Armed Robbery
234,Snatch-and-Run
235,Armed Robbery
236,Snatch-and-Run
237,Armed Robbery
238,Snatch-and-Run
239,Armed Robbery
240,Snatch-and-Run
241,Snatch-and-Run
242,Snatch-and-Run
243,Snatch-and-Run
244,Snatch-and-Run
245,Snatch-and-Run
246,Break-in
247,Break-in
248,Break-in
249,Break-in
250,Break-in
251,Break-in
252,Break-in
253,Break-in
254,Break-in
255,Break-in
256,Break-in
257,Break-in
258,Break-in
259,Break-in
260,Break-in
261,Break-in
262,Break-in
263,Break-in
264,Break-in
265,Break-in
266,Break-in
267,Break-in
268,Break-in
269,Break-in
270,Break-in
271,Break-in
272,Break-in
273,Break-in
274,Break-in
275,Break-in
276,Break-in
277,Break-in
278,Break-in
279,Break-in
280,Break-in
281,Break-in
282,Break-in
283,Break-in
284,Break-in
285,Break-in
286,Armed Attack
287,Armed Attack
288,Physical Assault
289,Armed Attack
290,Physical Assault
291,Armed Attack
292,Physical Assault
293,Armed Attack
294,Physical Assault
295,Armed Attack
296,Physical Assault
297,Armed Attack
298,Physical Assault
299,Armed Attack
300,Physical Assault
301,Armed Attack
302,Armed Attack
303,Armed Attack
304,Physical Assault
305,Armed Attack
306,Physical Assault
307,Armed Attack
308,Physical Assault
309,Physical Assault
310,Physical Assault
311,Physical Assault
312,Physical Assault
313,Armed Attack
314,Physical Assault
315,Armed Attack
316,Physical Assault
317,Armed Attack
318,Physical Assault
319,Armed Attack
320,Physical Assault
321,Armed Attack
322,Physical Assault
323,Physical Assault
324,Armed Attack
325,Physical Assault
326,Physical Assault
327,Armed Attack
328,Armed Attack
329,Armed Attack
330,Armed Attack
331,Physical Assault
332,Armed Attack
333,Armed Attack
334,Physical Assault
335,Physical Assault
336,Physical Assault
337,Armed Attack
338,Physical Assault
339,Physical Assault
340,Physical Assault
341,Break-in
342,Pickpocket
343,Break-in
344,Vehicle Theft
345,Vehicle Theft
346,Vehicle Theft
347,Pickpocket
348,Vehicle Theft
349,Break-in
350,Vehicle Theft
351,Vehicle Theft
352,Pickpocket
353,Pickpocket
354,Vehicle Theft
355,Pickpocket
356,Vehicle Theft
357,Break-in
358,Vehicle Theft
359,Break-in
360,Vehicle Theft
361,Break-in
362,Vehicle Theft
363,Pickpocket
364,Pickpocket
365,Vehicle Theft
366,Pickpocket
367,Break-in
368,Pickpocket
369,Break-in
370,Vehicle Theft
371,Vehicle Theft
372,Vehicle Theft
373,Vehicle Theft
374,Pickpocket
375,Pickpocket
376,Pickpocket
377,Vehicle Theft
378,Vehicle Theft
379,Break-in
380,Pickpocket
381,Break-in
382,Pickpocket
383,Vehicle Theft
384,Vehicle Theft
385,Break-in
386,Vehicle Theft
387,Break-in
388,Vehicle Theft
389,Break-in
390,Pickpocket
391,Break-in
392,Pickpocket
393,Break-in
394,Pickpocket
395,Vehicle Theft
396,Vehicle Theft
397,Pickpocket
398,Vehicle Theft
399,Break-in
400,Pickpocket
401,Vehicle Theft
402,Pickpocket
403,Break-in
404,Vehicle Theft
405,Break-in
406,Pickpocket
407,Pickpocket
408,Vehicle Theft
409,Break-in
410,Vehicle Theft
411,Break-in
412,Pickpocket
413,Vehicle Theft
414,Vehicle Theft
415,Vehicle Theft
416,Pickpocket
417,Vehicle Theft
418,Pickpocket
419,Pickpocket
420,Vehicle Theft
421,Break-in
422,Pickpocket
423,Break-in
424,Pickpocket
425,Vehicle Theft
426,Pickpocket
427,Vehicle Theft
428,Vehicle Theft
429,Break-in
430,Pickpocket
431,Vehicle Theft
432,Vehicle Theft
433,Break-in
434,Vehicle Theft
435,Break-in
436,Pickpocket
437,Vehicle Theft
438,Vehicle Theft
439,Vehicle Theft
440,Vehicle Theft
441,Pickpocket
442,Vehicle Theft
443,Vehicle Theft
444,Vehicle Theft
445,Break-in
446,Vehicle Theft
447,Pickpocket
448,Pickpocket
449,Pickpocket
450,Vehicle Theft
451,Vehicle Theft
452,Pickpocket
453,Vehicle Theft
454,Pickpocket
455,Vehicle Theft
456,Vehicle Theft
457,Vehicle Theft
458,Pickpocket
459,Pickpocket
460,Pickpocket
461,Pickpocket
462,Pickpocket
463,Vehicle Theft
464,Vehicle Theft
465,Break-in
466,Vehicle Theft
467,Break-in
468,Vehicle Theft
469,Vehicle Theft
470,Pickpocket
471,Break-in
472,Vehicle Theft
473,Pickpocket
474,Pickpocket
475,Vehicle Theft
476,Vehicle Theft
477,Vehicle Theft
478,Vehicle Theft
479,Pickpocket
480,Pickpocket
481,Break-in
482,Vehicle Theft
483,Vehicle Theft
484,Vehicle Theft
485,Break-in
486,Vehicle Theft
487,Vehicle Theft
488,Vehicle Theft
489,Vehicle Theft
490,Pickpocket
491,Pickpocket
492,Pickpocket
493,Vehicle Theft
494,Vehicle Theft
495,Pickpocket
496,Vehicle Theft
497,Break-in
498,Pickpocket
499,Vehicle Theft
500,Pickpocket
501,Break-in
502,Vehicle Theft
503,Break-in
504,Vehicle Theft
505,Vehicle Theft
506,Pickpocket
507,Vehicle Theft
508,Vehicle Theft
509,Break-in
510,Vehicle Theft
511,Vehicle Theft
512,Pickpocket
513,Vehicle Theft
514,Vehicle Theft
515,Break-in
516,Pickpocket
517,Vehicle Theft
518,Vehicle Theft
519,Vehicle Theft
520,Vehicle Theft
521,Break-in
522,Pickpocket
523,Vehicle Theft
524,Vehicle Theft
525,Vehicle Theft
526,Pickpocket
527,Pickpocket
528,Vehicle Theft
529,Pickpocket
530,Vehicle Theft
531,Vehicle Theft
532,Pickpocket
533,Break-in
534,Vehicle Theft
535,Break-in
536,Vehicle Theft
537,Vehicle Theft
538,Pickpocket
539,Vehicle Theft
540,Pickpocket
541,Vehicle Theft
542,Pickpocket
543,Vehicle Theft
544,Vehicle Theft
545,Break-in
546,Vehicle Theft
547,Pickpocket
548,Pickpocket
549,Vehicle Theft
550,Vehicle Theft
551,Vehicle Theft
552,Vehicle Theft
553,Vehicle Theft
554,Vehicle Theft
555,Vehicle Theft
556,Vehicle Theft
557,Break-in
558,Vehicle Theft
559,Vehicle Theft
560,Vehicle Theft
561,Pickpocket
562,Vehicle Theft
563,Break-in
564,Vehicle Theft
565,Break-in
566,Vehicle Theft
567,Break-in
568,Vehicle Theft
569,Vehicle Theft
570,Pickpocket
571,Pickpocket
572,Vehicle Theft
573,Break-in
574,Vehicle Theft
575,Vehicle Theft
576,Pickpocket
577,Break-in
578,Pickpocket
579,Break-in
580,Pickpocket
581,Pickpocket
582,Vehicle Theft
583,Break-in
584,Vehicle Theft
585,Vehicle Theft
586,Vehicle Theft
587,Break-in
588,Pickpocket
589,Pickpocket
590,Vehicle Theft
591,Pickpocket
592,Vehicle Theft
593,Break-in
594,Pickpocket
595,Pickpocket
596,Vehicle Theft
597,Vehicle Theft
598,Pickpocket
599,Vehicle Theft
600,Vehicle Theft
601,Pickpocket
602,Pickpocket
603,Break-in
604,Pickpocket
605,Pickpocket
606,Vehicle Theft
607,Pickpocket
608,Pickpocket
609,Break-in
610,Pickpocket
611,Vehicle Theft
612,Vehicle Theft
613,Pickpocket
614,Vehicle Theft
615,Pickpocket
616,Vehicle Theft
617,Break-in
618,Vehicle Theft
619,Pickpocket
620,Pickpocket
621,Break-in
622,Pickpocket
623,Pickpocket
624,Vehicle Theft
625,Vehicle Theft
626,Vehicle Theft
627,Break-in
628,Pickpocket
629,Vehicle Theft
630,Vehicle Theft
631,Break-in
632,Vehicle Theft
633,Break-in
634,Vehicle Theft
635,Break-in
636,Vehicle Theft
637,Pickpocket
638,Pickpocket
639,Vehicle Theft
640,Pickpocket
641,Break-in
642,Vehicle Theft
643,Break-in
644,Pickpocket
645,Vehicle Theft
646,Pickpocket
647,Vehicle Theft
648,Vehicle Theft
649,Vehicle Theft
650,Pickpocket
651,Pickpocket
652,Pickpocket
653,Break-in
654,Vehicle Theft
655,Vehicle Theft
656,Vehicle Theft
657,Pickpocket
658,Vehicle Theft
659,Vehicle Theft
660,Vehicle Theft
661,Break-in
662,Pickpocket
663,Break-in
664,Vehicle Theft
665,Break-in
666,Pickpocket
667,Break-in
668,Pickpocket
669,Vehicle Theft
670,Pickpocket
671,Vehicle Theft
672,Pickpocket
673,Vehicle Theft
674,Vehicle Theft
675,Vehicle Theft
676,Pickpocket
677,Pickpocket
678,Pickpocket
679,Break-in
680,Pickpocket
681,Vehicle Theft
682,Pickpocket
683,Vehicle Theft
684,Pickpocket
685,Vehicle Theft
686,Pickpocket
687,Vehicle Theft
688,Pickpocket
689,Vehicle Theft
690,Pickpocket
691,Break-in
692,Vehicle Theft
693,Vehicle Theft
694,Vehicle Theft
695,Break-in
696,Pickpocket
697,Pickpocket
698,Vehicle Theft
699,Vehicle Theft
700,Pickpocket
701,Pickpocket
702,Vehicle Theft
703,Vehicle Theft
704,Pickpocket
705,Vehicle Theft
706,Pickpocket
707,Break-in
708,Pickpocket
709,Break-in
710,Vehicle Theft
711,Vehicle Theft
712,Pickpocket
713,Break-in
714,Vehicle Theft
715,Break-in
716,Vehicle Theft
717,Vehicle Theft
718,Pickpocket
719,Break-in
720,Pickpocket
721,Vehicle Theft
722,Pickpocket
723,Vehicle Theft
724,Pickpocket
725,Vehicle Theft
726,Pickpocket
727,Vehicle Theft
728,Vehicle Theft
729,Break-in
730,Vehicle Theft
731,Break-in
732,Pickpocket
733,Vehicle Theft
734,Vehicle Theft
735,Break-in
736,Vehicle Theft
737,Break-in
738,Pickpocket
739,Vehicle Theft
740,Pickpocket
741,Break-in
742,Vehicle Theft
743,Vehicle Theft
744,Vehicle Theft
745,Break-in
746,Pickpocket
747,Vehicle Theft
748,Pickpocket
749,Vehicle Theft
750,Pickpocket
751,Vehicle Theft
752,Pickpocket
753,Vehicle Theft
754,Vehicle Theft
755,Vehicle Theft
756,Vehicle Theft
757,Break-in
758,Vehicle Theft
759,Vehicle Theft
760,Pickpocket
761,Armed Robbery
762,Snatch-and-Run
763,Armed Robbery
764,Snatch-and-Run
765,Armed Robbery
766,Snatch-and-Run
767,Armed Robbery
768,Armed Robbery
769,Armed Robbery
770,Armed Robbery
771,Armed Robbery
772,Snatch-and-Run
773,Armed Robbery
774,Snatch-and-Run
775,Armed Robbery
776,Armed Robbery
777,Armed Robbery
778,Armed Robbery
779,Armed Robbery
780,Armed Robbery
781,Armed Robbery
782,Snatch-and-Run
783,Armed Robbery
784,Armed Robbery
785,Armed Robbery
786,Armed Robbery
787,Armed Robbery
788,Armed Robbery
789,Armed Robbery
790,Armed Robbery
791,Armed Robbery
792,Armed Robbery
793,Armed Robbery
794,Armed Robbery
795,Armed Robbery
796,Snatch-and-Run
797,Armed Robbery
798,Armed Robbery
799,Armed Robbery
800,Armed Robbery
801,Armed Robbery
802,Armed Robbery
803,Armed Robbery
804,Armed Robbery
805,Armed Robbery
806,Armed Robbery
807,Armed Robbery
808,Armed Robbery
809,Armed Robbery
810,Armed Robbery
811,Armed Robbery
812,Armed Robbery
813,Armed Robbery
814,Armed Robbery
815,Armed Robbery
816,Snatch-and-Run
817,Armed Robbery
818,Armed Robbery
819,Armed Robbery
820,Snatch-and-Run
821,Armed Robbery
822,Armed Robbery
823,Armed Robbery
824,Snatch-and-Run
825,Armed Robbery
826,Snatch-and-Run
827,Armed Robbery
828,Armed Robbery
829,Armed Robbery
830,Armed Robbery
831,Armed Robbery
832,Armed Robbery
833,Armed Robbery
834,Armed Robbery
835,Armed Robbery
836,Snatch-and-Run
837,Armed Robbery
838,Snatch-and-Run
839,Armed Robbery
840,Snatch-and-Run
841,Armed Robbery
842,Armed Robbery
843,Armed Robbery
844,Snatch-and-Run
845,Armed Robbery
846,Snatch-and-Run
847,Armed Robbery
848,Snatch-and-Run
849,Snatch-and-Run
850,Snatch-and-Run
851,Snatch-and-Run
852,Snatch-and-Run
853,Armed Robbery
854,Snatch-and-Run
855,Snatch-and-Run
856,Snatch-and-Run
857,Armed Robbery
858,Snatch-and-Run
859,Snatch-and-Run
860,Snatch-and-Run
861,Armed Robbery
862,Snatch-and-Run
863,Snatch-and-Run
864,Snatch-and-Run
865,Snatch-and-Run
866,Snatch-and-Run
867,Snatch-and-Run
868,Snatch-and-Run
869,Armed Robbery
870,Snatch-and-Run
871,Snatch-and-Run
872,Snatch-and-Run
873,Snatch-and-Run
874,Snatch-and-Run
875,Snatch-and-Run
876,Snatch-and-Run
877,Armed Robbery
878,Snatch-and-Run
879,Snatch-and-Run
880,Snatch-and-Run
881,Armed Robbery
882,Snatch-and-Run
883,Snatch-and-Run
884,Snatch-and-Run
885,Snatch-and-Run
886,Snatch-and-Run
887,Snatch-and-Run
888,Snatch-and-Run
889,Snatch-and-Run
890,Snatch-and-Run
891,Armed Robbery
892,Snatch-and-Run
893,Snatch-and-Run
894,Snatch-and-Run
895,Snatch-and-Run
896,Snatch-and-Run
897,Armed Robbery
898,Snatch-and-Run
899,Snatch-and-Run
900,Snatch-and-Run
901,Snatch-and-Run
902,Snatch-and-Run
903,Armed Robbery
904,Snatch-and-Run
905,Snatch-and-Run
906,Break-in
907,Break-in
908,Break-in
909,Break-in
910,Break-in
911,Break-in
912,Break-in
913,Break-in
914,Break-in
915,Break-in
916,Break-in
917,Break-in
918,Break-in
919,Break-in
920,Break-in
921,Break-in
922,Break-in
923,Break-in
924,Break-in
925,Break-in
926,Break-in
927,Break-in
928,Break-in
929,Break-in
930,Break-in
931,Break-in
932,Break-in
933,Break-in
934,Break-in
935,Break-in
936,Break-in
937,Break-in
938,Break-in
939,Break-in
940,Break-in
941,Break-in
942,Break-in
943,Break-in
944,Break-in
945,Break-in
946,Break-in
947,Break-in
948,Break-in
949,Break-in
950,Break-in
951,Break-in
952,Break-in
953,Break-in
954,Break-in
955,Break-in
956,Break-in
957,Break-in
958,Break-in
959,Break-in
960,Break-in
961,Break-in
962,Break-in
963,Break-in
964,Break-in
965,Break-in
966,Break-in
967,Break-in
968,Break-in
969,Break-in
970,Break-in
971,Break-in
972,Break-in
973,Break-in
974,Break-in
975,Break-in
976,Break-in
977,Break-in
978,Break-in
979,Break-in
980,Break-in
981,Break-in
982,Break-in
983,Break-in
984,Break-in
985,Break-in
986,Break-in
987,Break-in
988,Break-in
989,Break-in
990,Break-in
991,Break-in
992,Break-in
993,Break-in
994,Break-in
995,Break-in
996,Break-in
997,Break-in
998,Break-in
999,Break-in
1000,Break-in
1001,Break-in
1002,Break-in
1003,Break-in
1004,Break-in
1005,Break-in
1006,Break-in
1007,Break-in
1008,Break-in
1009,Break-in
1010,Break-in
1011,Break-in
1012,Break-in
1013,Break-in
1014,Break-in
1015,Break-in
1016,Break-in
1017,Break-in
1018,Break-in
1019,Break-in
1020,Break-in
1021,Break-in
1022,Break-in
1023,Break-in
1024,Break-in
1025,Break-in
1026,Break-in
1027,Break-in
1028,Break-in
1029,Break-in
1030,Break-in
1031,Break-in
1032,Break-in
1033,Break-in
1034,Break-in
1035,Break-in
1036,Break-in
1037,Break-in
1038,Break-in
1039,Break-in
1040,Break-in
1041,Break-in
1042,Break-in
1043,Break-in
1044,Break-in
1045,Break-in
1046,Break-in
1047,Break-in
1048,Break-in
1049,Break-in
1050,Break-in
1051,Break-in
1052,Break-in
1053,Break-in
1054,Break-in
1055,Break-in
1056,Physical Assault
1057,Physical Assault
1058,Physical Assault
1059,Armed Attack
1060,Physical Assault
1061,Armed Attack
1062,Physical Assault
1063,Armed Attack
1064,Armed Attack
1065,Armed Attack
1066,Physical Assault
1067,Armed Attack
1068,Physical Assault
1069,Armed Attack
1070,Physical Assault
1071,Armed Attack
1072,Armed Attack
1073,Physical Assault
1074,Physical Assault
1075,Physical Assault
1076,Physical Assault
1077,Physical Assault
1078,Physical Assault
1079,Armed Attack
1080,Armed Attack
1081,Armed Attack
1082,Physical Assault
1083,Armed Attack
1084,Physical Assault
1085,Armed Attack
1086,Physical Assault
1087,Armed Attack
1088,Physical Assault
1089,Armed Attack
1090,Physical Assault
1091,Physical Assault
1092,Physical Assault
1093,Armed Attack
1094,Physical Assault
1095,Physical Assault
1096,Physical Assault
1097,Armed Attack
1098,Physical Assault
1099,Armed Attack
1100,Physical Assault
1101,Physical Assault
1102,Armed Attack
1103,Armed Attack
1104,Physical Assault
1105,Physical Assault
1106,Physical Assault
1107,Armed Attack
1108,Physical Assault
1109,Armed Attack
1110,Physical Assault
1111,Armed Attack
1112,Armed Attack
1113,Physical Assault
1114,Physical Assault
1115,Armed Attack
1116,Armed Attack
1117,Physical Assault
1118,Physical Assault
1119,Physical Assault
1120,Armed Attack
1121,Armed Attack
1122,Physical Assault
1123,Armed Attack
1124,Physical Assault
1125,Armed Attack
1126,Armed Attack
1127,Armed Attack
1128,Physical Assault
1129,Armed Attack
1130,Physical Assault
1131,Physical Assault
1132,Physical Assault
1133,Armed Attack
1134,Physical Assault
1135,Armed Attack
1136,Physical Assault
1137,Armed Attack
1138,Physical Assault
1139,Armed Attack
1140,Physical Assault
1141,Armed Attack
1142,Armed Attack
1143,Armed Attack
1144,Physical Assault
1145,Armed Attack
1146,Physical Assault
1147,Armed Attack
1148,Physical Assault
1149,Physical Assault
1150,Physical Assault
1151,Armed Attack
1152,Physical Assault
1153,Physical Assault
1154,Physical Assault
1155,Armed Attack
1156,Physical Assault
1157,Armed Attack
1158,Physical Assault
1159,Physical Assault
1160,Physical Assault
1161,Armed Attack
1162,Physical Assault
1163,Armed Attack
1164,Physical Assault
1165,Armed Attack
1166,Armed Attack
1167,Armed Attack
1168,Physical Assault
1169,Armed Attack
1170,Physical Assault
1171,Armed Attack
1172,Physical Assault
1173,Armed Attack
1174,Armed Attack
1175,Physical Assault
1176,Physical Assault
1177,Armed Attack
1178,Physical Assault
1179,Armed Attack
1180,Physical Assault
1181,Armed Attack
1182,Physical Assault
1183,Armed Attack
1184,Physical Assault
1185,Armed Attack
1186,Physical Assault
1187,Armed Attack
1188,Physical Assault
1189,Armed Attack
1190,Armed Attack
1191,Armed Attack
1192,Physical Assault
1193,Armed Attack
1194,Physical Assault
1195,Armed Attack
1196,Physical Assault
1197,Physical Assault
1198,Armed Attack
1199,Armed Attack
1200,Physical Assault
1201,Armed Attack
1202,Physical Assault
1203,Physical Assault
1204,Physical Assault
1205,Armed Attack
1206,Physical Assault
1207,Armed Attack
1208,Physical Assault
1209,Armed Attack
1210,Physical Assault
1211,Physical Assault
1212,Armed Attack
1213,Armed Attack
1214,Physical Assault
1215,Armed Attack
1216,Physical Assault
1217,Armed Attack
1218,Physical Assault
1219,Armed Attack
1220,Physical Assault
1221,Armed Attack
1222,Physical Assault
1223,Physical Assault
1224,Armed Attack
1225,Armed Attack
1226,Armed Attack
1227,Armed Attack
1228,Armed Attack
1229,Armed Attack
1230,Physical Assault
1231,Armed Attack
1232,Physical Assault
1233,Armed Attack
1234,Physical Assault
1235,Armed Attack
1236,Physical Assault
1237,Physical Assault
1238,Armed Attack
1239,Armed Attack
1240,Physical Assault
1241,Armed Attack
1242,Physical Assault
1243,Physical Assault
1244,Physical Assault
1245,Armed Attack
1246,Physical Assault
1247,Armed Attack
1248,Physical Assault
1249,Physical Assault
1250,Physical Assault
1251,Armed Attack
1252,Physical Assault
1253,Physical Assault
1254,Armed Attack
1255,Armed Attack
1256,Vehicle Theft
1257,Break-in
1258,Pickpocket
1259,Pickpocket
1260,Pickpocket
1261,Vehicle Theft
1262,Vehicle Theft
1263,Vehicle Theft
1264,Pickpocket
1265,Break-in
1266,Pickpocket
1267,Break-in
1268,Pickpocket
1269,Vehicle Theft
1270,Pickpocket
1271,Vehicle Theft
1272,Vehicle Theft
1273,Vehicle Theft
1274,Vehicle Theft
1275,Break-in
1276,Vehicle Theft
1277,Pickpocket
1278,Vehicle Theft
1279,Vehicle Theft
1280,Pickpocket
1281,Vehicle Theft
1282,Vehicle Theft
1283,Vehicle Theft
1284,Pickpocket
1285,Break-in
1286,Pickpocket
1287,Break-in
1288,Pickpocket
1289,Vehicle Theft
1290,Vehicle Theft
1291,Break-in
1292,Vehicle Theft
1293,Break-in
1294,Pickpocket
1295,Pickpocket
1296,Vehicle Theft
1297,Break-in
1298,Pickpocket
1299,Break-in
1300,Pickpocket
1301,Vehicle Theft
1302,Vehicle Theft
1303,Vehicle Theft
1304,Vehicle Theft
1305,Break-in
1306,Pickpocket
1307,Break-in
1308,Vehicle Theft
1309,Break-in
1310,Vehicle Theft
1311,Break-in
1312,Vehicle Theft
1313,Pickpocket
1314,Pickpocket
1315,Break-in
1316,Pickpocket
1317,Pickpocket
1318,Vehicle Theft
1319,Vehicle Theft
1320,Vehicle Theft
1321,Pickpocket
1322,Pickpocket
1323,Break-in
1324,Vehicle Theft
1325,Vehicle Theft
1326,Vehicle Theft
1327,Vehicle Theft
1328,Vehicle Theft
1329,Pickpocket
1330,Vehicle Theft
1331,Break-in
1332,Vehicle Theft
1333,Pickpocket
1334,Pickpocket
1335,Pickpocket
1336,Pickpocket
1337,Break-in
1338,Pickpocket
1339,Vehicle Theft
1340,Pickpocket
1341,Break-in
1342,Pickpocket
1343,Break-in
1344,Pickpocket
1345,Vehicle Theft
1346,Vehicle Theft
1347,Break-in
1348,Pickpocket
1349,Break-in
1350,Vehicle Theft
1351,Break-in
1352,Pickpocket
1353,Vehicle Theft
1354,Vehicle Theft
1355,Vehicle Theft
1356,Vehicle Theft
1357,Break-in
1358,Vehicle Theft
1359,Break-in
1360,Vehicle Theft
1361,Vehicle Theft
1362,Vehicle Theft
1363,Break-in
1364,Pickpocket
1365,Break-in
1366,Vehicle Theft
1367,Pickpocket
1368,Vehicle Theft
1369,Break-in
1370,Pickpocket
1371,Break-in
1372,Pickpocket
1373,Vehicle Theft
1374,Pickpocket
1375,Vehicle Theft
1376,Pickpocket
1377,Vehicle Theft
1378,Pickpocket
1379,Vehicle Theft
1380,Vehicle Theft
1381,Break-in
1382,Pickpocket
1383,Break-in
1384,Pickpocket
1385,Pickpocket
1386,Vehicle Theft
1387,Vehicle Theft
1388,Pickpocket
1389,Pickpocket
1390,Vehicle Theft
1391,Break-in
1392,Vehicle Theft
1393,Vehicle Theft
1394,Vehicle Theft
1395,Vehicle Theft
1396,Vehicle Theft
1397,Break-in
1398,Vehicle Theft
1399,Break-in
1400,Pickpocket
1401,Vehicle Theft
1402,Pickpocket
1403,Vehicle Theft
1404,Vehicle Theft
1405,Vehicle Theft
1406,Armed Robbery
1407,Armed Robbery
1408,Snatch-and-Run
1409,Armed Robbery
1410,Snatch-and-Run
1411,Armed Robbery
1412,Snatch-and-Run
1413,Armed Robbery
1414,Snatch-and-Run
1415,Armed Robbery
1416,Armed Robbery
1417,Armed Robbery
1418,Armed Robbery
1419,Armed Robbery
1420,Snatch-and-Run
1421,Armed Robbery
1422,Snatch-and-Run
1423,Armed Robbery
1424,Armed Robbery
1425,Armed Robbery
1426,Snatch-and-Run
1427,Armed Robbery
1428,Armed Robbery
1429,Armed Robbery
1430,Armed Robbery
1431,Armed Robbery
1432,Armed Robbery
1433,Armed Robbery
1434,Armed Robbery
1435,Armed Robbery
1436,Snatch-and-Run
1437,Snatch-and-Run
1438,Snatch-and-Run
1439,Snatch-and-Run
1440,Snatch-and-Run
1441,Armed Robbery
1442,Snatch-and-Run
1443,Snatch-and-Run
1444,Snatch-and-Run
1445,Snatch-and-Run
1446,Snatch-and-Run
1447,Armed Robbery
1448,Snatch-and-Run
1449,Armed Robbery
1450,Snatch-and-Run
1451,Break-in
1452,Break-in
1453,Break-in
1454,Break-in
