CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
12,0012/2025,FIR/0012/2025,2025-12-17,1,1,1,2,5,9,1,1,2025-12-17 10:00:00,2025-12-17 10:30:00,2025-12-17 11:15:00,16.178488,76.128846,"Incident of Theft reported in Bagalkot district at coordinates (16.1785, 76.1288)."
13,0013/2025,FIR/0013/2025,2025-04-27,2,1,1,2,5,10,1,1,2025-04-27 21:00:00,2025-04-27 21:30:00,2025-04-27 22:15:00,16.288879,75.721204,"Incident of Theft reported in Bagalkot district at coordinates (16.2889, 75.7212)."
14,0014/2025,FIR/0014/2025,2025-06-04,1,1,1,2,5,9,3,1,2025-06-04 16:00:00,2025-06-04 16:30:00,2025-06-04 17:15:00,16.123675,75.781792,"Incident of Theft reported in Bagalkot district at coordinates (16.1237, 75.7818)."
15,0015/2025,FIR/0015/2025,2025-10-19,2,1,1,2,5,10,2,1,2025-10-19 17:00:00,2025-10-19 17:30:00,2025-10-19 18:15:00,15.929789,75.947112,"Incident of Theft reported in Bagalkot district at coordinates (15.9298, 75.9471)."
16,0016/2025,FIR/0016/2025,2025-11-02,1,1,1,2,5,9,3,1,2025-11-02 08:00:00,2025-11-02 08:30:00,2025-11-02 09:15:00,15.922108,75.940589,"Incident of Theft reported in Bagalkot district at coordinates (15.9221, 75.9406)."
17,0017/2025,FIR/0017/2025,2025-07-18,2,1,1,2,5,10,3,1,2025-07-18 06:00:00,2025-07-18 06:30:00,2025-07-18 07:15:00,16.172401,76.128826,"Incident of Theft reported in Bagalkot district at coordinates (16.1724, 76.1288)."
18,0018/2025,FIR/0018/2025,2025-06-22,1,1,1,2,5,9,3,1,2025-06-22 12:00:00,2025-06-22 12:30:00,2025-06-22 13:15:00,16.291896,75.708586,"Incident of Theft reported in Bagalkot district at coordinates (16.2919, 75.7086)."
19,0019/2025,FIR/0019/2025,2025-10-28,2,1,1,2,5,10,1,1,2025-10-28 13:00:00,2025-10-28 13:30:00,2025-10-28 14:15:00,16.133697,75.501362,"Incident of Theft reported in Bagalkot district at coordinates (16.1337, 75.5014)."
20,0020/2025,FIR/0020/2025,2025-03-19,1,1,1,2,5,9,2,1,2025-03-19 01:00:00,2025-03-19 01:30:00,2025-03-19 02:15:00,15.942702,75.937765,"Incident of Theft reported in Bagalkot district at coordinates (15.9427, 75.9378)."
21,0021/2025,FIR/0021/2025,2025-02-05,2,1,1,2,5,10,3,1,2025-02-05 04:00:00,2025-02-05 04:30:00,2025-02-05 05:15:00,16.475396,75.208548,"Incident of Theft reported in Bagalkot district at coordinates (16.4754, 75.2085)."
22,0022/2025,FIR/0022/2025,2025-11-21,1,1,1,2,5,9,2,1,2025-11-21 04:00:00,2025-11-21 04:30:00,2025-11-21 05:15:00,16.125375,75.782654,"Incident of Theft reported in Bagalkot district at coordinates (16.1254, 75.7827)."
23,0023/2025,FIR/0023/2025,2025-04-24,2,1,1,2,5,10,3,1,2025-04-24 14:00:00,2025-04-24 14:30:00,2025-04-24 15:15:00,15.933578,75.92732,"Incident of Theft reported in Bagalkot district at coordinates (15.9336, 75.9273)."
24,0024/2025,FIR/0024/2025,2025-10-15,1,1,1,2,5,9,2,1,2025-10-15 12:00:00,2025-10-15 12:30:00,2025-10-15 13:15:00,15.917017,75.940096,"Incident of Theft reported in Bagalkot district at coordinates (15.9170, 75.9401)."
25,0025/2025,FIR/0025/2025,2025-01-28,2,1,1,2,5,10,3,1,2025-01-28 09:00:00,2025-01-28 09:30:00,2025-01-28 10:15:00,16.403622,75.082604,"Incident of Theft reported in Bagalkot district at coordinates (16.4036, 75.0826)."
26,0026/2025,FIR/0026/2025,2025-09-08,1,1,1,2,5,9,2,1,2025-09-08 23:00:00,2025-09-08 23:30:00,2025-09-08 23:15:00,16.273085,75.699465,"Incident of Theft reported in Bagalkot district at coordinates (16.2731, 75.6995)."
27,0027/2025,FIR/0027/2025,2025-12-23,2,1,1,2,5,10,2,1,2025-12-23 17:00:00,2025-12-23 17:30:00,2025-12-23 18:15:00,16.055821,75.77975,"Incident of Theft reported in Bagalkot district at coordinates (16.0558, 75.7798)."
28,0028/2025,FIR/0028/2025,2025-07-04,1,1,1,2,5,9,2,1,2025-07-04 19:00:00,2025-07-04 19:30:00,2025-07-04 20:15:00,16.289458,75.708486,"Incident of Theft reported in Bagalkot district at coordinates (16.2895, 75.7085)."
29,0029/2025,FIR/0029/2025,2025-04-16,2,1,1,2,5,10,3,1,2025-04-16 11:00:00,2025-04-16 11:30:00,2025-04-16 12:15:00,16.178348,76.128147,"Incident of Theft reported in Bagalkot district at coordinates (16.1783, 76.1281)."
30,0030/2025,FIR/0030/2025,2025-03-19,1,1,1,2,5,9,1,1,2025-03-19 04:00:00,2025-03-19 04:30:00,2025-03-19 05:15:00,16.034645,75.47213,"Incident of Theft reported in Bagalkot district at coordinates (16.0346, 75.4721)."
31,0031/2025,FIR/0031/2025,2025-05-11,2,1,1,2,5,10,3,1,2025-05-11 13:00:00,2025-05-11 13:30:00,2025-05-11 14:15:00,16.302957,75.702069,"Incident of Theft reported in Bagalkot district at coordinates (16.3030, 75.7021)."
32,0032/2025,FIR/0032/2025,2025-04-01,1,1,1,2,5,9,1,1,2025-04-01 18:00:00,2025-04-01 18:30:00,2025-04-01 19:15:00,16.12215,75.50917,"Incident of Theft reported in Bagalkot district at coordinates (16.1222, 75.5092)."
33,0033/2025,FIR/0033/2025,2025-11-01,2,1,1,2,5,10,1,1,2025-11-01 12:00:00,2025-11-01 12:30:00,2025-11-01 13:15:00,16.346651,75.691301,"Incident of Theft reported in Bagalkot district at coordinates (16.3467, 75.6913)."
34,0034/2025,FIR/0034/2025,2025-11-16,1,1,1,2,5,9,1,1,2025-11-16 04:00:00,2025-11-16 04:30:00,2025-11-16 05:15:00,16.053472,75.779064,"Incident of Theft reported in Bagalkot district at coordinates (16.0535, 75.7791)."
35,0035/2025,FIR/0035/2025,2025-06-12,2,1,1,2,5,10,2,1,2025-06-12 21:00:00,2025-06-12 21:30:00,2025-06-12 22:15:00,16.130046,75.779188,"Incident of Theft reported in Bagalkot district at coordinates (16.1300, 75.7792)."
36,0036/2025,FIR/0036/2025,2025-07-22,1,1,1,2,5,9,1,1,2025-07-22 03:00:00,2025-07-22 03:30:00,2025-07-22 04:15:00,16.121677,75.496025,"Incident of Theft reported in Bagalkot district at coordinates (16.1217, 75.4960)."
37,0037/2025,FIR/0037/2025,2025-11-15,2,1,1,2,5,10,1,1,2025-11-15 17:00:00,2025-11-15 17:30:00,2025-11-15 18:15:00,16.285251,75.713205,"Incident of Theft reported in Bagalkot district at coordinates (16.2853, 75.7132)."
38,0038/2025,FIR/0038/2025,2025-06-23,1,1,1,2,5,9,1,1,2025-06-23 15:00:00,2025-06-23 15:30:00,2025-06-23 16:15:00,16.058868,75.782371,"Incident of Theft reported in Bagalkot district at coordinates (16.0589, 75.7824)."
39,0039/2025,FIR/0039/2025,2025-08-12,2,1,1,2,5,10,1,1,2025-08-12 05:00:00,2025-08-12 05:30:00,2025-08-12 06:15:00,16.175496,76.121512,"Incident of Theft reported in Bagalkot district at coordinates (16.1755, 76.1215)."
40,0040/2025,FIR/0040/2025,2025-01-22,1,1,1,2,5,9,2,1,2025-01-22 02:00:00,2025-01-22 02:30:00,2025-01-22 03:15:00,16.276045,75.697085,"Incident of Theft reported in Bagalkot district at coordinates (16.2760, 75.6971)."
41,0041/2025,FIR/0041/2025,2025-06-14,2,1,1,2,5,10,1,1,2025-06-14 12:00:00,2025-06-14 12:30:00,2025-06-14 13:15:00,16.12263,75.514469,"Incident of Theft reported in Bagalkot district at coordinates (16.1226, 75.5145)."
42,0042/2025,FIR/0042/2025,2025-07-22,1,1,1,2,5,9,2,1,2025-07-22 11:00:00,2025-07-22 11:30:00,2025-07-22 12:15:00,16.132723,75.505724,"Incident of Theft reported in Bagalkot district at coordinates (16.1327, 75.5057)."
43,0043/2025,FIR/0043/2025,2025-06-22,2,1,1,2,5,10,3,1,2025-06-22 19:00:00,2025-06-22 19:30:00,2025-06-22 20:15:00,15.923035,75.944839,"Incident of Theft reported in Bagalkot district at coordinates (15.9230, 75.9448)."
44,0044/2025,FIR/0044/2025,2025-02-24,1,1,1,2,5,9,1,1,2025-02-24 12:00:00,2025-02-24 12:30:00,2025-02-24 13:15:00,15.9325,75.932025,"Incident of Theft reported in Bagalkot district at coordinates (15.9325, 75.9320)."
45,0045/2025,FIR/0045/2025,2025-04-03,2,1,1,2,5,10,2,1,2025-04-03 02:00:00,2025-04-03 02:30:00,2025-04-03 03:15:00,16.134885,75.797814,"Incident of Theft reported in Bagalkot district at coordinates (16.1349, 75.7978)."
46,0046/2025,FIR/0046/2025,2025-02-11,1,1,1,2,5,9,2,1,2025-02-11 00:00:00,2025-02-11 00:30:00,2025-02-11 01:15:00,15.834119,75.54543,"Incident of Theft reported in Bagalkot district at coordinates (15.8341, 75.5454)."
47,0047/2025,FIR/0047/2025,2025-08-07,2,1,1,2,5,10,1,1,2025-08-07 11:00:00,2025-08-07 11:30:00,2025-08-07 12:15:00,16.085811,75.569034,"Incident of Theft reported in Bagalkot district at coordinates (16.0858, 75.5690)."
48,0048/2025,FIR/0048/2025,2025-10-17,1,1,1,2,5,9,1,1,2025-10-17 11:00:00,2025-10-17 11:30:00,2025-10-17 12:15:00,16.122131,75.40246,"Incident of Theft reported in Bagalkot district at coordinates (16.1221, 75.4025)."
49,0049/2025,FIR/0049/2025,2025-01-02,2,1,1,2,5,10,1,1,2025-01-02 10:00:00,2025-01-02 10:30:00,2025-01-02 11:15:00,16.053027,75.777727,"Incident of Theft reported in Bagalkot district at coordinates (16.0530, 75.7777)."
50,0050/2025,FIR/0050/2025,2025-06-19,1,1,1,2,5,9,2,1,2025-06-19 04:00:00,2025-06-19 04:30:00,2025-06-19 05:15:00,16.277575,75.718,"Incident of Theft reported in Bagalkot district at coordinates (16.2776, 75.7180)."
51,0051/2025,FIR/0051/2025,2025-01-12,2,1,1,2,5,10,3,1,2025-01-12 08:00:00,2025-01-12 08:30:00,2025-01-12 09:15:00,16.116881,75.775384,"Incident of Theft reported in Bagalkot district at coordinates (16.1169, 75.7754)."
52,0052/2025,FIR/0052/2025,2025-12-07,1,1,1,2,5,9,3,1,2025-12-07 16:00:00,2025-12-07 16:30:00,2025-12-07 17:15:00,16.181183,76.113428,"Incident of Theft reported in Bagalkot district at coordinates (16.1812, 76.1134)."
53,0053/2025,FIR/0053/2025,2025-07-27,2,1,1,2,5,10,3,1,2025-07-27 20:00:00,2025-07-27 20:30:00,2025-07-27 21:15:00,15.929571,75.926005,"Incident of Theft reported in Bagalkot district at coordinates (15.9296, 75.9260)."
54,0054/2025,FIR/0054/2025,2025-06-09,1,1,1,2,5,9,1,1,2025-06-09 13:00:00,2025-06-09 13:30:00,2025-06-09 14:15:00,15.930837,75.952195,"Incident of Theft reported in Bagalkot district at coordinates (15.9308, 75.9522)."
55,0055/2025,FIR/0055/2025,2025-04-27,2,1,1,2,5,10,3,1,2025-04-27 13:00:00,2025-04-27 13:30:00,2025-04-27 14:15:00,16.11267,75.492926,"Incident of Theft reported in Bagalkot district at coordinates (16.1127, 75.4929)."
56,0056/2025,FIR/0056/2025,2025-08-01,1,1,1,2,5,9,2,1,2025-08-01 18:00:00,2025-08-01 18:30:00,2025-08-01 19:15:00,16.122793,75.793675,"Incident of Theft reported in Bagalkot district at coordinates (16.1228, 75.7937)."
57,0057/2025,FIR/0057/2025,2025-06-15,2,1,1,2,5,10,2,1,2025-06-15 23:00:00,2025-06-15 23:30:00,2025-06-15 23:15:00,16.174044,76.12941,"Incident of Theft reported in Bagalkot district at coordinates (16.1740, 76.1294)."
58,0058/2025,FIR/0058/2025,2025-08-03,1,1,1,2,5,9,2,1,2025-08-03 19:00:00,2025-08-03 19:30:00,2025-08-03 20:15:00,16.159711,75.690426,"Incident of Theft reported in Bagalkot district at coordinates (16.1597, 75.6904)."
59,0059/2025,FIR/0059/2025,2025-01-07,2,1,1,2,5,10,1,1,2025-01-07 17:00:00,2025-01-07 17:30:00,2025-01-07 18:15:00,16.127359,75.513876,"Incident of Theft reported in Bagalkot district at coordinates (16.1274, 75.5139)."
60,0060/2025,FIR/0060/2025,2025-04-08,1,1,1,2,5,9,1,1,2025-04-08 06:00:00,2025-04-08 06:30:00,2025-04-08 07:15:00,16.297248,75.712413,"Incident of Theft reported in Bagalkot district at coordinates (16.2972, 75.7124)."
61,0061/2025,FIR/0061/2025,2025-10-12,2,1,1,1,4,8,2,1,2025-10-12 02:00:00,2025-10-12 02:30:00,2025-10-12 03:15:00,16.122793,75.510926,"Incident of Robbery reported in Bagalkot district at coordinates (16.1228, 75.5109)."
62,0062/2025,FIR/0062/2025,2025-02-17,1,1,1,1,4,7,1,1,2025-02-17 13:00:00,2025-02-17 13:30:00,2025-02-17 14:15:00,16.123852,75.502933,"Incident of Robbery reported in Bagalkot district at coordinates (16.1239, 75.5029)."
63,0063/2025,FIR/0063/2025,2025-09-10,2,1,1,1,4,8,2,1,2025-09-10 07:00:00,2025-09-10 07:30:00,2025-09-10 08:15:00,16.166599,76.121034,"Incident of Robbery reported in Bagalkot district at coordinates (16.1666, 76.1210)."
64,0064/2025,FIR/0064/2025,2025-02-04,1,1,1,1,4,7,3,1,2025-02-04 14:00:00,2025-02-04 14:30:00,2025-02-04 15:15:00,15.982777,75.504488,"Incident of Robbery reported in Bagalkot district at coordinates (15.9828, 75.5045)."
65,0065/2025,FIR/0065/2025,2025-04-20,2,1,1,1,4,8,1,1,2025-04-20 14:00:00,2025-04-20 14:30:00,2025-04-20 15:15:00,16.052365,75.784596,"Incident of Robbery reported in Bagalkot district at coordinates (16.0524, 75.7846)."
66,0066/2025,FIR/0066/2025,2025-01-17,1,1,1,1,4,7,2,1,2025-01-17 21:00:00,2025-01-17 21:30:00,2025-01-17 22:15:00,16.131636,75.503946,"Incident of Robbery reported in Bagalkot district at coordinates (16.1316, 75.5039)."
67,0067/2025,FIR/0067/2025,2025-07-12,2,1,1,1,4,8,2,1,2025-07-12 03:00:00,2025-07-12 03:30:00,2025-07-12 04:15:00,16.115514,75.77982,"Incident of Robbery reported in Bagalkot district at coordinates (16.1155, 75.7798)."
68,0068/2025,FIR/0068/2025,2025-09-25,1,1,1,1,4,7,2,1,2025-09-25 13:00:00,2025-09-25 13:30:00,2025-09-25 14:15:00,15.91273,75.934148,"Incident of Robbery reported in Bagalkot district at coordinates (15.9127, 75.9341)."
69,0069/2025,FIR/0069/2025,2025-03-20,2,1,1,1,4,8,3,1,2025-03-20 02:00:00,2025-03-20 02:30:00,2025-03-20 03:15:00,16.118331,75.794279,"Incident of Robbery reported in Bagalkot district at coordinates (16.1183, 75.7943)."
70,0070/2025,FIR/0070/2025,2025-02-18,1,1,1,1,4,7,2,1,2025-02-18 12:00:00,2025-02-18 12:30:00,2025-02-18 13:15:00,16.046834,76.055341,"Incident of Robbery reported in Bagalkot district at coordinates (16.0468, 76.0553)."
71,0071/2025,FIR/0071/2025,2025-04-13,2,1,1,2,3,6,1,1,2025-04-13 03:00:00,2025-04-13 03:30:00,2025-04-13 04:15:00,16.289247,75.715335,"Incident of Chain Snatching reported in Bagalkot district at coordinates (16.2892, 75.7153)."
72,0072/2025,FIR/0072/2025,2025-02-10,1,1,1,2,3,5,2,1,2025-02-10 13:00:00,2025-02-10 13:30:00,2025-02-10 14:15:00,16.17067,76.124626,"Incident of Chain Snatching reported in Bagalkot district at coordinates (16.1707, 76.1246)."
73,0073/2025,FIR/0073/2025,2025-08-20,2,1,1,2,3,6,3,1,2025-08-20 02:00:00,2025-08-20 02:30:00,2025-08-20 03:15:00,16.126855,75.495078,"Incident of Chain Snatching reported in Bagalkot district at coordinates (16.1269, 75.4951)."
74,0074/2025,FIR/0074/2025,2025-11-13,1,1,1,2,3,5,3,1,2025-11-13 00:00:00,2025-11-13 00:30:00,2025-11-13 01:15:00,16.280163,75.695376,"Incident of Chain Snatching reported in Bagalkot district at coordinates (16.2802, 75.6954)."
75,0075/2025,FIR/0075/2025,2025-09-04,2,1,1,2,3,6,1,1,2025-09-04 18:00:00,2025-09-04 18:30:00,2025-09-04 19:15:00,15.933222,75.933563,"Incident of Chain Snatching reported in Bagalkot district at coordinates (15.9332, 75.9336)."
76,0076/2025,FIR/0076/2025,2025-06-15,1,1,1,2,2,3,3,1,2025-06-15 03:00:00,2025-06-15 03:30:00,2025-06-15 04:15:00,16.352022,75.087331,"Incident of Burglary reported in Bagalkot district at coordinates (16.3520, 75.0873)."
77,0077/2025,FIR/0077/2025,2025-12-11,2,1,1,2,2,4,3,1,2025-12-11 08:00:00,2025-12-11 08:30:00,2025-12-11 09:15:00,15.927461,75.927564,"Incident of Burglary reported in Bagalkot district at coordinates (15.9275, 75.9276)."
78,0078/2025,FIR/0078/2025,2025-06-29,1,1,1,2,2,3,1,1,2025-06-29 22:00:00,2025-06-29 22:30:00,2025-06-29 23:15:00,16.301401,75.7019,"Incident of Burglary reported in Bagalkot district at coordinates (16.3014, 75.7019)."
79,0079/2025,FIR/0079/2025,2025-01-23,2,1,1,2,2,4,2,1,2025-01-23 15:00:00,2025-01-23 15:30:00,2025-01-23 16:15:00,16.128162,75.513066,"Incident of Burglary reported in Bagalkot district at coordinates (16.1282, 75.5131)."
80,0080/2025,FIR/0080/2025,2025-12-17,1,1,1,2,2,3,1,1,2025-12-17 07:00:00,2025-12-17 07:30:00,2025-12-17 08:15:00,16.060127,75.772955,"Incident of Burglary reported in Bagalkot district at coordinates (16.0601, 75.7730)."
81,0081/2025,FIR/0081/2025,2025-05-07,2,1,1,2,2,4,2,1,2025-05-07 16:00:00,2025-05-07 16:30:00,2025-05-07 17:15:00,16.037227,75.780515,"Incident of Burglary reported in Bagalkot district at coordinates (16.0372, 75.7805)."
82,0082/2025,FIR/0082/2025,2025-06-09,1,1,1,2,2,3,3,1,2025-06-09 19:00:00,2025-06-09 19:30:00,2025-06-09 20:15:00,16.052557,75.775102,"Incident of Burglary reported in Bagalkot district at coordinates (16.0526, 75.7751)."
83,0083/2025,FIR/0083/2025,2025-01-10,2,1,1,2,2,4,3,1,2025-01-10 21:00:00,2025-01-10 21:30:00,2025-01-10 22:15:00,16.560041,75.254094,"Incident of Burglary reported in Bagalkot district at coordinates (16.5600, 75.2541)."
84,0084/2025,FIR/0084/2025,2025-12-20,1,1,1,2,2,3,1,1,2025-12-20 06:00:00,2025-12-20 06:30:00,2025-12-20 07:15:00,16.283412,75.716547,"Incident of Burglary reported in Bagalkot district at coordinates (16.2834, 75.7165)."
85,0085/2025,FIR/0085/2025,2025-04-14,2,1,1,2,2,4,3,1,2025-04-14 11:00:00,2025-04-14 11:30:00,2025-04-14 12:15:00,16.257825,75.642279,"Incident of Burglary reported in Bagalkot district at coordinates (16.2578, 75.6423)."
86,0086/2025,FIR/0086/2025,2025-11-10,1,1,1,2,2,3,1,1,2025-11-10 11:00:00,2025-11-10 11:30:00,2025-11-10 12:15:00,15.952569,75.565508,"Incident of Burglary reported in Bagalkot district at coordinates (15.9526, 75.5655)."
87,0087/2025,FIR/0087/2025,2025-04-05,2,1,1,2,2,4,1,1,2025-04-05 12:00:00,2025-04-05 12:30:00,2025-04-05 13:15:00,16.273432,75.709762,"Incident of Burglary reported in Bagalkot district at coordinates (16.2734, 75.7098)."
88,0088/2025,FIR/0088/2025,2025-02-18,1,1,1,2,2,3,1,1,2025-02-18 18:00:00,2025-02-18 18:30:00,2025-02-18 19:15:00,16.120789,75.796685,"Incident of Burglary reported in Bagalkot district at coordinates (16.1208, 75.7967)."
89,0089/2025,FIR/0089/2025,2025-09-26,2,1,1,2,2,4,3,1,2025-09-26 15:00:00,2025-09-26 15:30:00,2025-09-26 16:15:00,16.289776,75.708831,"Incident of Burglary reported in Bagalkot district at coordinates (16.2898, 75.7088)."
90,0090/2025,FIR/0090/2025,2025-08-24,1,1,1,2,2,3,1,1,2025-08-24 05:00:00,2025-08-24 05:30:00,2025-08-24 06:15:00,15.920579,75.946624,"Incident of Burglary reported in Bagalkot district at coordinates (15.9206, 75.9466)."
91,0091/2025,FIR/0091/2025,2025-05-08,2,1,1,2,2,4,1,1,2025-05-08 01:00:00,2025-05-08 01:30:00,2025-05-08 02:15:00,16.285623,75.710774,"Incident of Burglary reported in Bagalkot district at coordinates (16.2856, 75.7108)."
92,0092/2025,FIR/0092/2025,2025-07-12,1,1,1,2,2,3,2,1,2025-07-12 07:00:00,2025-07-12 07:30:00,2025-07-12 08:15:00,16.168621,76.110372,"Incident of Burglary reported in Bagalkot district at coordinates (16.1686, 76.1104)."
93,0093/2025,FIR/0093/2025,2025-04-04,2,1,1,2,2,4,3,1,2025-04-04 07:00:00,2025-04-04 07:30:00,2025-04-04 08:15:00,15.969142,75.584793,"Incident of Burglary reported in Bagalkot district at coordinates (15.9691, 75.5848)."
94,0094/2025,FIR/0094/2025,2025-09-17,1,1,1,2,2,3,2,1,2025-09-17 19:00:00,2025-09-17 19:30:00,2025-09-17 20:15:00,16.12639,75.775974,"Incident of Burglary reported in Bagalkot district at coordinates (16.1264, 75.7760)."
95,0095/2025,FIR/0095/2025,2025-01-23,2,1,1,2,2,4,2,1,2025-01-23 08:00:00,2025-01-23 08:30:00,2025-01-23 09:15:00,16.238899,75.824719,"Incident of Burglary reported in Bagalkot district at coordinates (16.2389, 75.8247)."
96,0096/2025,FIR/0096/2025,2025-11-07,1,1,1,1,1,1,2,1,2025-11-07 00:00:00,2025-11-07 00:30:00,2025-11-07 01:15:00,16.095191,76.074086,"Incident of Assault reported in Bagalkot district at coordinates (16.0952, 76.0741)."
97,0097/2025,FIR/0097/2025,2025-03-11,2,1,1,1,1,2,3,1,2025-03-11 04:00:00,2025-03-11 04:30:00,2025-03-11 05:15:00,16.118751,75.503638,"Incident of Assault reported in Bagalkot district at coordinates (16.1188, 75.5036)."
98,0098/2025,FIR/0098/2025,2025-11-02,1,1,1,1,1,1,3,1,2025-11-02 16:00:00,2025-11-02 16:30:00,2025-11-02 17:15:00,15.925331,75.936485,"Incident of Assault reported in Bagalkot district at coordinates (15.9253, 75.9365)."
99,0099/2025,FIR/0099/2025,2025-12-17,2,1,1,1,1,2,1,1,2025-12-17 01:00:00,2025-12-17 01:30:00,2025-12-17 02:15:00,16.121202,75.783825,"Incident of Assault reported in Bagalkot district at coordinates (16.1212, 75.7838)."
100,0100/2025,FIR/0100/2025,2025-11-13,1,1,1,1,1,1,2,1,2025-11-13 19:00:00,2025-11-13 19:30:00,2025-11-13 20:15:00,16.434766,75.280952,"Incident of Assault reported in Bagalkot district at coordinates (16.4348, 75.2810)."
101,0101/2025,FIR/0101/2025,2025-08-31,2,1,1,1,1,2,1,1,2025-08-31 05:00:00,2025-08-31 05:30:00,2025-08-31 06:15:00,16.129537,75.501622,"Incident of Assault reported in Bagalkot district at coordinates (16.1295, 75.5016)."
102,0102/2025,FIR/0102/2025,2025-05-12,1,1,1,1,1,1,2,1,2025-05-12 20:00:00,2025-05-12 20:30:00,2025-05-12 21:15:00,16.134333,75.79002,"Incident of Assault reported in Bagalkot district at coordinates (16.1343, 75.7900)."
103,0103/2025,FIR/0103/2025,2025-03-18,2,1,1,1,1,2,2,1,2025-03-18 19:00:00,2025-03-18 19:30:00,2025-03-18 20:15:00,16.123747,75.501149,"Incident of Assault reported in Bagalkot district at coordinates (16.1237, 75.5011)."
104,0104/2025,FIR/0104/2025,2025-09-13,1,1,1,1,1,1,2,1,2025-09-13 03:00:00,2025-09-13 03:30:00,2025-09-13 04:15:00,16.322684,75.470101,"Incident of Assault reported in Bagalkot district at coordinates (16.3227, 75.4701)."
105,0105/2025,FIR/0105/2025,2025-07-30,2,1,1,1,1,2,3,1,2025-07-30 05:00:00,2025-07-30 05:30:00,2025-07-30 06:15:00,16.27541,75.716414,"Incident of Assault reported in Bagalkot district at coordinates (16.2754, 75.7164)."
106,0106/2025,FIR/0106/2025,2025-02-08,1,1,1,1,1,1,1,1,2025-02-08 01:00:00,2025-02-08 01:30:00,2025-02-08 02:15:00,16.1174,75.777165,"Incident of Assault reported in Bagalkot district at coordinates (16.1174, 75.7772)."
107,0107/2025,FIR/0107/2025,2025-06-28,2,1,1,1,1,2,1,1,2025-06-28 07:00:00,2025-06-28 07:30:00,2025-06-28 08:15:00,16.221087,75.333825,"Incident of Assault reported in Bagalkot district at coordinates (16.2211, 75.3338)."
